SID,SCHID,GENDER,Y2S2_1,Y2S2_2,Y2S2_3,Y2S2_4,Y2S2_5,Y2S2_6,Y2S2_7,Y2S2_8,Y2S2_9,Y2S2_10,Y2S2_11,Y2S2_12,Y2S2_13,Y2S2_14,Y2S2_15,Y2S2_16,Y2S2_17,Y2S2_18,Y2S2_19,Y2S2_20,Y2S2_21,Y2S2_22,Y2S2_23,Y2S2_24,Y2S2_25,Y2S2_26,Y2S2_27,Y2S2_28,Y2S2_29,Y2S2_30,Y2L3_1,Y2L3_2,Y2L3_3,Y2L3_4,Y2L6_15,Y2L6_16,Y2L6_17,Y2L6_18,Y2L6_19,Y2L6_5,Y2L6_6,Y2L6_7,Y2L6_8,Y2L6_9,Y2L6_10,Y2L6_11,Y2L6_12,Y2L6_13,Y2L6_14,Y2S36_1,Y2S36_2,Y2S36_3,Y2KOR_S,Y2ENG_S,Y2MAT_S,Y2KOR_V,Y2ENG_V,Y2MAT_V
1,1,2,5,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,1,4,3,4,62,49,35,399,395,374
2,1,1,4,4,4,4,4,3,3,3,4,4,4,3,3,4,4,4,3,4,2,3,4,2,2,4,2,3,4,3,3,4,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,2,3,3,3,5,5,5,58,100,90,391,683,480
3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,1,4,3,3,3,4,4,4,3,4,5,5,5,5,5,5,5,5,4,5,2,2,3,2,4,4,4,5,3,4,4,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,5,5,5,85,88,80,483,475,456
5,1,1,5,4,4,4,3,4,3,2,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,2,2,3,3,3,3,4,4,4,4,66,55,60,407,407,423
6,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,1,1,2,1,1,4,5,5,1,5,5,3,4,2,4,4,4,4,4,4,1,1,1,1,1,4,2,3,4,4,5,5,3,86,64,50,483,423,406
7,1,2,3,3,3,5,4,3,3,3,3,3,4,3,4,4,3,3,1,2,1,1,4,1,2,2,4,3,5,2,4,3,2,3,3,3,4,4,4,4,4,3,3,3,3,3,2,2,1,2,2,5,3,5,53,61,90,376,418,480
8,1,1,5,5,5,5,4,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,3,3,3,4,4,5,5,3,4,4,4,4,3,4,4,3,3,4,3,4,4,4,3,4,3,3,4,3,3,5,5,5,85,82,95,483,458,500
9,1,2,3,3,4,4,4,2,3,1,2,2,2,2,4,2,2,2,1,3,4,2,3,4,3,3,3,2,3,1,2,3,3,3,3,3,2,2,3,3,3,2,2,3,4,3,2,2,3,2,2,5,4,4,74,88,55,433,475,415
10,1,1,5,4,5,4,4,5,4,4,5,4,4,5,4,5,5,4,4,2,1,1,2,1,2,4,4,3,5,4,5,5,4,3,3,4,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,3,61,61,65,391,418,431
11,1,1,3,3,3,3,3,3,3,4,5,4,4,4,4,3,3,3,4,5,4,4,3,3,3,2,3,3,4,3,3,4,3,2,2,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,28,46,15,288,389,288
12,1,2,5,5,5,5,5,5,5,5,3,2,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,4,2,4,4,3,3,2,3,3,3,3,4,3,2,2,2,2,3,2,2,3,3,3,5,2,2,41,40,45,344,374,397
13,1,2,5,4,4,5,3,5,3,5,5,5,5,5,5,5,4,3,3,3,5,3,1,5,5,2,3,3,2,5,5,5,4,3,2,3,4,4,4,4,4,3,3,1,1,2,1,1,1,1,1,-1,1,4,45,34,35,352,356,374
14,1,1,5,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,3,4,4,3,3,4,4,4,3,5,-1,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,3,3,5,4,2,67,82,30,415,458,358
15,1,1,5,3,3,5,3,3,3,3,4,3,4,3,4,4,3,3,4,3,3,3,1,1,1,1,1,3,2,1,3,3,3,2,2,3,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,26,43,20,269,382,289
16,1,2,4,3,3,3,4,3,3,3,4,4,4,4,4,4,3,3,2,3,3,2,2,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,1,2,2,2,2,2,5,5,4,65,88,90,407,475,480
17,1,2,4,3,4,4,4,4,3,3,5,4,4,4,5,5,4,4,4,5,3,3,2,3,3,4,5,4,5,3,5,5,3,2,2,3,3,3,3,3,2,3,2,3,3,3,3,4,3,3,4,-1,3,-1,77,79,50,443,451,406
18,1,2,3,4,4,3,3,4,4,3,3,3,4,4,4,4,2,3,2,1,3,1,1,3,2,3,2,4,5,1,3,2,3,3,3,3,4,4,3,4,4,1,1,2,1,1,4,4,4,4,3,5,5,3,85,88,75,483,475,447
19,1,2,5,5,5,5,5,5,5,5,4,3,4,3,4,3,3,3,2,3,3,4,2,3,3,4,4,4,4,3,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,2,3,4,3,3,3,5,5,5,78,79,65,443,451,431
20,1,2,4,4,5,4,4,5,4,2,5,5,5,5,5,5,5,5,5,5,3,4,4,2,3,4,4,5,5,5,4,5,3,3,3,4,4,3,4,4,3,4,3,3,3,3,3,2,2,3,3,5,4,5,77,100,90,443,683,480
21,1,1,4,4,3,3,4,3,3,2,4,4,3,3,4,4,2,2,2,2,2,2,3,3,3,3,2,2,4,1,2,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,5,3,3,44,28,80,352,330,456
22,1,1,4,3,3,4,4,4,4,3,2,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,3,2,3,2,2,2,2,3,3,3,2,3,4,3,2,3,3,3,2,2,3,3,4,4,5,50,67,75,368,428,447
23,1,1,5,4,4,5,4,5,3,4,5,3,5,5,4,4,5,5,3,3,3,2,1,2,2,5,3,3,3,2,3,3,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3,2,3,2,-1,3,-1,68,43,35,415,382,374
24,1,2,4,4,3,4,3,3,3,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,5,4,4,4,3,3,2,3,4,4,4,4,4,2,2,2,2,3,4,4,4,3,4,5,5,5,88,97,70,501,534,439
